code,keyword_id
P-1,12
P-1,33
P-1,34
P-2,13
P-2,14
P-2,12
P-3,16
P-3,35
P-3,24
P-3,25
P-4,26
P-4,36
P-4,38
P-5,17
P-5,48
P-5,16
P-6,11
P-6,9
P-6,10
P-6,12
P-7,12
P-7,22
P-7,23
P-7,24
P-7,25
P-7,31
P-7,42
P-8,39
P-8,40
P-8,41
P-9,5
P-9,2
P-9,15
P-9,29
P-10,1
P-10,3
P-10,6
P-10,34
P-11,12
P-11,22
P-11,24
P-11,25
P-11,15
P-11,31
P-11,42
P-12,12
P-12,7
P-12,8
P-12,42
P-13,43
P-13,34
P-13,44
P-14,12
P-14,16
P-14,25
P-14,20
P-14,24
P-15,47
P-15,48
P-15,49
E-1,50
E-1,51
E-1,53
E-2,52
E-2,53
E-2,54
E-3,55
E-3,56
E-3,57
E-4,58
E-4,37
E-4,59
E-5,70
E-5,71
E-5,72
E-6,50
E-6,60
E-6,57
E-7,67
E-7,68
E-7,69
E-8,61
E-8,62
E-8,57
E-9,64
E-9,56
E-9,57
E-10,61
E-10,63
E-10,54
E-11,66
E-11,37
E-11,65
E-12,45
E-12,46
E-12,65
E-13,87
E-13,88
E-13,89
E-13,90
E-13,91
E-14,87
E-14,88
E-14,89
E-14,90
E-15,45
E-15,46
E-15,65
E-16,78
E-16,87
E-16,88
E-17,77
E-17,78
E-17,87
E-17,88
G-1,73
G-1,74
G-2,80
G-2,81
G-2,82
G-3,75
G-3,76
G-3,54
G-4,73
G-4,74
G-5,35
G-5,81
G-5,82
G-6,83
G-6,84
G-6,81
G-7,73
G-7,74
G-7,81
G-8,31
G-8,73
G-8,74
G-8,79
G-8,81
G-9,31
G-9,77
G-9,73
G-9,81
G-10,85
G-10,86
G-10,72
